Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Februar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;38;372;70;
;39;372;89;
;40;372;112;
;41;664;140;
;42;664;167;
;43;664;196;
;44;664;235;
;45;818;263;
;46;818;305;
;47;818;334;
;48;818;368;
;49;833;386;
;50;833;394;
;51;833;392;
;52;833;406;
;53;772;405;
;54;772;394;
;55;772;392;
;56;772;369;
;57;606;344;
;58;606;314;
;59;606;291;
;60;606;261;
;61;331;242;
;62;331;212;
;63;331;181;
;64;331;152;
;65;77;121;
;66;77;96;
;67;77;68;
;68;77;41;
;69;19;21;
;70;19;8;
;71;19;3;
;72;19;1;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-16;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;7;0;
;30;7;0;
;31;7;1;
;32;7;4;
;33;212;15;
;34;212;34;
;35;212;66;
;36;212;90;
;37;673;130;
;38;673;171;
;39;673;217;
;40;673;268;
;41;964;315;
;42;964;367;
;43;964;428;
;44;964;485;
;45;1047;541;
;46;1047;590;
;47;1047;644;
;48;1047;699;
;49;1042;748;
;50;1042;801;
;51;1042;856;
;52;1042;912;
;53;1047;963;
;54;1047;1029;
;55;1047;1056;
;56;1047;1063;
;57;995;1041;
;58;995;1025;
;59;995;1021;
;60;995;963;
;61;715;916;
;62;715;836;
;63;715;746;
;64;715;640;
;65;233;523;
;66;233;411;
;67;233;295;
;68;233;185;
;69;6;95;
;70;6;33;
;71;6;9;
;72;6;3;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-17;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;7;0;
;30;7;0;
;31;7;6;
;32;7;29;
;33;186;77;
;34;186;150;
;35;186;223;
;36;186;301;
;37;601;424;
;38;601;541;
;39;601;650;
;40;601;759;
;41;912;859;
;42;912;936;
;43;912;1024;
;44;912;1077;
;45;1041;1161;
;46;1041;1214;
;47;1041;1241;
;48;1041;1300;
;49;1059;1298;
;50;1059;1334;
;51;1059;1353;
;52;1059;1365;
;53;1023;1349;
;54;1023;1367;
;55;1023;1332;
;56;1023;1279;
;57;881;1198;
;58;881;1127;
;59;881;1019;
;60;881;927;
;61;530;831;
;62;530;711;
;63;530;607;
;64;530;482;
;65;131;372;
;66;131;280;
;67;131;191;
;68;131;108;
;69;8;53;
;70;8;19;
;71;8;4;
;72;8;2;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-02-18;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;15;0;
;30;15;0;
;31;15;3;
;32;15;13;
;33;105;29;
;34;105;54;
;35;105;84;
;36;105;117;
;37;298;151;
;38;298;178;
;39;298;209;
;40;298;253;
;41;490;305;
;42;490;344;
;43;490;385;
;44;490;427;
;45;621;457;
;46;621;490;
;47;621;500;
;48;621;494;
;49;699;524;
;50;699;517;
;51;699;533;
;52;699;550;
;53;695;561;
;54;695;545;
;55;695;560;
;56;695;599;
