Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 Januar;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;55;824;52;
;56;824;47;
;57;554;44;
;58;554;39;
;59;554;33;
;60;554;28;
;61;165;23;
;62;165;16;
;63;165;10;
;64;165;6;
;65;16;3;
;66;16;1;
;67;16;1;
;68;16;0;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-16;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;44;0;
;34;44;0;
;35;44;1;
;36;44;3;
;37;271;7;
;38;271;12;
;39;271;20;
;40;271;27;
;41;667;34;
;42;667;44;
;43;667;55;
;44;667;62;
;45;970;72;
;46;970;80;
;47;970;87;
;48;970;97;
;49;1055;109;
;50;1055;121;
;51;1055;133;
;52;1055;137;
;53;930;135;
;54;930;157;
;55;930;179;
;56;930;173;
;57;608;164;
;58;608;152;
;59;608;139;
;60;608;126;
;61;177;106;
;62;177;86;
;63;177;65;
;64;177;41;
;65;19;22;
;66;19;7;
;67;19;2;
;68;19;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-17;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;5;0;
;34;5;0;
;35;5;1;
;36;5;3;
;37;58;6;
;38;58;10;
;39;58;14;
;40;58;19;
;41;131;24;
;42;131;35;
;43;131;50;
;44;131;67;
;45;167;84;
;46;167;90;
;47;167;96;
;48;167;107;
;49;169;117;
;50;169;121;
;51;169;129;
;52;169;143;
;53;155;150;
;54;155;150;
;55;155;138;
;56;155;131;
;57;116;119;
;58;116;103;
;59;116;80;
;60;116;68;
;61;45;54;
;62;45;41;
;63;45;34;
;64;45;21;
;65;1;11;
;66;1;5;
;67;1;3;
;68;1;1;
;69;0;0;
;70;0;0;
;71;0;0;
;72;0;0;
;73;0;0;
;74;0;0;
;75;0;0;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-01-18;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;0;0;
;26;0;0;
;27;0;0;
;28;0;0;
;29;0;0;
;30;0;0;
;31;0;0;
;32;0;0;
;33;13;1;
;34;13;3;
;35;13;9;
;36;13;22;
;37;95;35;
;38;95;52;
;39;95;73;
;40;95;96;
;41;220;123;
;42;220;142;
;43;220;180;
;44;220;208;
;45;314;214;
;46;314;243;
;47;314;280;
;48;314;292;
;49;346;293;
;50;346;303;
;51;346;288;
;52;346;284;
;53;320;267;
;54;320;260;
;55;320;244;
;56;320;244;
;57;228;228;
;58;228;213;
;59;228;184;
;60;228;150;
;61;84;117;
;62;84;91;
;63;84;69;
;64;84;47;
;65;9;31;
;66;9;15;
;67;9;5;
;68;9;3;
