Datum von;Uhrzeit von;Datum bis;Uhrzeit bis;Prognose (MW);Ist-Wert (MW)
04.03.2015;22:30:00;04.03.2015;22:45:00;125;153
04.03.2015;22:45:00;04.03.2015;23:00:00;125;145
04.03.2015;23:00:00;04.03.2015;23:15:00;125;139
04.03.2015;23:15:00;04.03.2015;23:30:00;124;169
04.03.2015;23:30:00;04.03.2015;23:45:00;124;173
04.03.2015;23:45:00;05.03.2015;00:00:00;123;188
05.03.2015;00:00:00;05.03.2015;00:15:00;124;196
05.03.2015;00:15:00;05.03.2015;00:30:00;121;179
05.03.2015;00:30:00;05.03.2015;00:45:00;119;155
05.03.2015;00:45:00;05.03.2015;01:00:00;116;125
05.03.2015;01:00:00;05.03.2015;01:15:00;114;144
05.03.2015;01:15:00;05.03.2015;01:30:00;113;133
05.03.2015;01:30:00;05.03.2015;01:45:00;112;128
05.03.2015;01:45:00;05.03.2015;02:00:00;110;115
05.03.2015;02:00:00;05.03.2015;02:15:00;110;131
05.03.2015;02:15:00;05.03.2015;02:30:00;109;120
05.03.2015;02:30:00;05.03.2015;02:45:00;109;124
05.03.2015;02:45:00;05.03.2015;03:00:00;109;118
05.03.2015;03:00:00;05.03.2015;03:15:00;108;115
05.03.2015;03:15:00;05.03.2015;03:30:00;107;118
05.03.2015;03:30:00;05.03.2015;03:45:00;106;113
05.03.2015;03:45:00;05.03.2015;04:00:00;106;114
05.03.2015;04:00:00;05.03.2015;04:15:00;105;113
05.03.2015;04:15:00;05.03.2015;04:30:00;103;106
05.03.2015;04:30:00;05.03.2015;04:45:00;102;112
05.03.2015;04:45:00;05.03.2015;05:00:00;100;111
05.03.2015;05:00:00;05.03.2015;05:15:00;99;102
05.03.2015;05:15:00;05.03.2015;05:30:00;98;104
05.03.2015;05:30:00;05.03.2015;05:45:00;97;114
05.03.2015;05:45:00;05.03.2015;06:00:00;95;109
05.03.2015;06:00:00;05.03.2015;06:15:00;94;107
05.03.2015;06:15:00;05.03.2015;06:30:00;94;125
05.03.2015;06:30:00;05.03.2015;06:45:00;94;121
05.03.2015;06:45:00;05.03.2015;07:00:00;94;139
05.03.2015;07:00:00;05.03.2015;07:15:00;94;156
05.03.2015;07:15:00;05.03.2015;07:30:00;94;163
05.03.2015;07:30:00;05.03.2015;07:45:00;94;178
05.03.2015;07:45:00;05.03.2015;08:00:00;94;178
05.03.2015;08:00:00;05.03.2015;08:15:00;95;189
05.03.2015;08:15:00;05.03.2015;08:30:00;96;217
05.03.2015;08:30:00;05.03.2015;08:45:00;97;184
05.03.2015;08:45:00;05.03.2015;09:00:00;97;146
05.03.2015;09:00:00;05.03.2015;09:15:00;98;161
05.03.2015;09:15:00;05.03.2015;09:30:00;97;142
05.03.2015;09:30:00;05.03.2015;09:45:00;96;165
05.03.2015;09:45:00;05.03.2015;10:00:00;95;148
05.03.2015;10:00:00;05.03.2015;10:15:00;94;145
05.03.2015;10:15:00;05.03.2015;10:30:00;91;112
05.03.2015;10:30:00;05.03.2015;10:45:00;88;143
05.03.2015;10:45:00;05.03.2015;11:00:00;85;124
05.03.2015;11:00:00;05.03.2015;11:15:00;82;82
05.03.2015;11:15:00;05.03.2015;11:30:00;78;110
05.03.2015;11:30:00;05.03.2015;11:45:00;74;109
05.03.2015;11:45:00;05.03.2015;12:00:00;70;76
05.03.2015;12:00:00;05.03.2015;12:15:00;67;97
05.03.2015;12:15:00;05.03.2015;12:30:00;65;79
05.03.2015;12:30:00;05.03.2015;12:45:00;63;79
05.03.2015;12:45:00;05.03.2015;13:00:00;62;75
05.03.2015;13:00:00;05.03.2015;13:15:00;61;67
05.03.2015;13:15:00;05.03.2015;13:30:00;61;59
05.03.2015;13:30:00;05.03.2015;13:45:00;61;62
05.03.2015;13:45:00;05.03.2015;14:00:00;61;56
05.03.2015;14:00:00;05.03.2015;14:15:00;62;69
05.03.2015;14:15:00;05.03.2015;14:30:00;64;53
05.03.2015;14:30:00;05.03.2015;14:45:00;65;72
05.03.2015;14:45:00;05.03.2015;15:00:00;66;74
05.03.2015;15:00:00;05.03.2015;15:15:00;68;78
05.03.2015;15:15:00;05.03.2015;15:30:00;70;67
05.03.2015;15:30:00;05.03.2015;15:45:00;71;70
05.03.2015;15:45:00;05.03.2015;16:00:00;73;58
05.03.2015;16:00:00;05.03.2015;16:15:00;74;52
05.03.2015;16:15:00;05.03.2015;16:30:00;74;45
05.03.2015;16:30:00;05.03.2015;16:45:00;74;46
05.03.2015;16:45:00;05.03.2015;17:00:00;73;50
05.03.2015;17:00:00;05.03.2015;17:15:00;72;55
05.03.2015;17:15:00;05.03.2015;17:30:00;69;45
05.03.2015;17:30:00;05.03.2015;17:45:00;67;35
05.03.2015;17:45:00;05.03.2015;18:00:00;64;34
05.03.2015;18:00:00;05.03.2015;18:15:00;61;34
05.03.2015;18:15:00;05.03.2015;18:30:00;58;49
05.03.2015;18:30:00;05.03.2015;18:45:00;54;41
