Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 März;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;53;1498;1675;
;54;1498;1716;
;55;1498;1651;
;56;1498;1603;
;57;1149;1526;
;58;1149;1527;
;59;1149;1472;
;60;1149;1383;
;61;736;1213;
;62;736;1056;
;63;736;989;
;64;736;862;
;65;339;697;
;66;339;542;
;67;339;389;
;68;339;276;
;69;76;186;
;70;76;104;
;71;76;57;
;72;76;23;
;73;5;9;
;74;5;7;
;75;5;0;
;76;5;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-11;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;9;0;
;26;9;0;
;27;9;0;
;28;9;0;
;29;91;5;
;30;91;15;
;31;91;33;
;32;91;51;
;33;337;74;
;34;337;103;
;35;337;142;
;36;337;188;
;37;651;243;
;38;651;282;
;39;651;296;
;40;651;324;
;41;934;372;
;42;934;434;
;43;934;473;
;44;934;530;
;45;1128;565;
;46;1128;572;
;47;1128;610;
;48;1128;670;
;49;1193;710;
;50;1193;731;
;51;1193;727;
;52;1193;732;
;53;1134;707;
;54;1134;713;
;55;1134;738;
;56;1134;689;
;57;953;703;
;58;953;668;
;59;953;618;
;60;953;575;
;61;658;527;
;62;658;503;
;63;658;447;
;64;658;399;
;65;330;358;
;66;330;300;
;67;330;217;
;68;330;165;
;69;76;116;
;70;76;77;
;71;76;50;
;72;76;27;
;73;6;16;
;74;6;10;
;75;6;5;
;76;6;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
